==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
 57     11     +2     2      3     -97    108    0    50    0  0.0025280623
 58      8     -3     3     -3     -87     95    0    51    0  0.0025281182
 59     11     +3     2      2    -104    116    1    52    0  0.0025272088
 60      9     -2     2     -2     -83     93    1    53    0  0.0025274422

==============================================================================
MA_rich6 — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1   1268            0      0   -2843   4407  296     0    0  0.0038851243
  2    939   -329     5   -330   -1189   2330  202     1    0  0.0034566547
  3    864    -75     0    -75   -1417   2482  201     1    0  0.0032297809
  4    825    -39     2    -41    -109   1137  203     2    0  0.0030351494
  5    796    -29     2    -27     222    771  197     3    0  0.0028753234
  6    566   -230     0   -230     559    159  152     3    0  0.0026703029
  7    439   -127    25   -125     398    151  110     4    0  0.0026350760
  8    373    -66    12    -66     308    154   89     5    0  0.0026174721
  9    336    -37    14    -29     231    177   72     6    0  0.0025960086
 10    279    -57    10    -58     193    151   65     7    0  0.0025825137
 11    176   -103     0   -103      -8    215   31     7    0  0.0025753514
 12    143    -33    20    -36     -62    233   28     8    0  0.0025658617
 13     92    -51     8    -45     -76    192   24     9    0  0.0025611636
 14     90     -2     6     -1     -77    192   25    10    0  0.0025557323
 15     80    -10     3     -9     -79    181   22    11    0  0.0025524180
 16     53    -27     2    -27     -52    121   16    12    0  0.0025557685
 17     42    -11     5    -10     -61    116   13    13    0  0.0025523239
 18     39     -3     4     -2     -72    124   13    14    0  0.0025496478
 19     38     -1     4      2     -76    125   11    15    0  0.0025467336
 20     34     -4     1     -4    -102    146   10    16    0  0.0025450403
 21     24    -10     2    -10     -60     92    8    17    0  0.0025482489
 22     21     -3     1     -3     -81    109    7    18    0  0.0025457433
 23     20     -1     0     -1     -80    106    6    18    0  0.0025440462
 24     19     -1     1      1    -100    126    7    19    0  0.0025425490
 25     23     +4     0      4     -94    124    7    19    0  0.0025414183
 26     19     -4     0     -4     -62     87    6    19    0  0.0025442354
 27     14     -5     3     -5     -65     85    6    20    0  0.0025423083
 28     18     +4     5      3     -78    102    6    21    0  0.0025407797
 29     17     -1     3     -1     -71     94    6    22    0  0.0025395467
 30     18     +1     0      1     -81    105    6    22    0  0.0025389190
 31     15     -3     2     -1     -52     72    5    23    0  0.0025402376
 32     17     +2     2      2     -54     77    6    24    0  0.0025397262
 33     17     +0     1      0     -53     75    5    25    0  0.0025380894
 34     17     +0     2      1     -63     86    6    26    0  0.0025377544
 35     18     +1     4      2     -61     84    5    27    0  0.0025366955
 36     16     -2     2     -3     -44     65    5    28    0  0.0025389925
 37     15     -1     2     -1     -48     68    5    29    0  0.0025375144
 38     15     +0     3      0     -51     71    5    30    0  0.0025369502
 39     17     +2     0      2     -48     70    5    30    0  0.0025357248
 40     15     -2     2     -2     -48     68    5    31    0  0.0025352228
 41     16     +1     4      0     -40     60    4    32    0  0.0025361829
 42     13     -3     1     -3     -43     60    4    33    0  0.0025352751
 43     16     +3     3      2     -50     70    4    34    0  0.0025340628
 44     16     +0     0      0     -44     64    4    34    0  0.0025336467
 45     16     +0     1      0     -50     70    4    35    0  0.0025329050
 46     15     -1     6     -1     -41     59    3    36    0  0.0025351798
 47     14     -1     3      0     -44     61    3    37    0  0.0025333764
 48     11     -3     0     -3     -44     58    3    37    0  0.0025327693
 49     13     +2     3      2     -45     61    3    38    0  0.0025324285
 50     12     -1     3     -3     -44     59    3    39    0  0.0025319489
 51     16     +4     0      4     -43     62    3    39    0  0.0025320332
 52     12     -4     4     -4     -40     55    3    40    0  0.0025321650
 53     14     +2     0      2     -45     62    3    40    0  0.0025309234
 54     13     -1     3      0     -42     57    2    41    0  0.0025308436
 55     14     +1     1      1     -45     61    2    42    0  0.0025301490
 56     16     +2     3      2     -42     60    2    43    0  0.0025316037
 57     17     +1     3      0     -40     59    2    44    0  0.0025305821
 58     14     -3     5     -3     -38     54    2    45    0  0.0025305585
 59     15     +1     3      1     -43     60    2    46    0  0.0025295180
 60     14     -1     3     -1     -40     56    2    47    0  0.0025307993

==============================================================================
MA_phase — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1     95            0      0   -2002   2097    0     0    0  0.0045340514
  2    522   +427     2    423   -2798   3359   39     1    0  0.0039195386
  3    525     +3     0      3   -2399   2963   39     1    0  0.0034454221
  4    489    -36    20    -42      49    488   48     2    0  0.0034144817
  5    486     -3     1     -2       7    529   50     3    0  0.0032430714
  6    438    -48     1    -46     269    224   55     4    0  0.0030767936
  7    401    -37     3    -35     197    265   61     5    0  0.0030243819
  8    383    -18     0    -18     164    280   61     5    0  0.0029389714
  9    374     -9     2     -9      89    347   62     6    0  0.0028370723
 10    371     -3     1     -3      93    344   66     7    0  0.0027567056
 11    361    -10     2     -9     223    206   68     8    0  0.0027546658
 12    337    -24     2    -22     167    238   68     9    0  0.0027219311
 13    329     -8     0     -8     166    230   67     9    0  0.0026728633
 14    324     -5     2     -4     147    244   67    10    0  0.0026305468
 15    315     -9     3     -7     127    269   81    11    0  0.0026104050
 16    264    -51     5    -48     121    249  106    12    0  0.0025949289
 17    237    -27     5    -26      60    283  106    13    0  0.0025822325
 18    195    -42     2    -46      20    275  100    14    0  0.0025730217
 19    124    -71     0    -71     -76    261   61    14    0  0.0025674840
 20     91    -33     6    -36    -109    241   41    15    0  0.0025606512
 21     70    -21     0    -21     -81    178   27    15    0  0.0025575718
 22     68     -2     2     -2    -117    212   27    16    0  0.0025548259
 23     64     -4     5     -4    -125    215   26    17    0  0.0025515212
 24     62     -2     2     -3    -130    217   25    18    0  0.0025494440
 25     61     -1     1      0    -134    219   24    19    0  0.0025471270
 26     53     -8     4     -8     -94    171   24    20    0  0.0025475273
 27     54     +1     2      1    -100    178   24    21    0  0.0025448226
 28     50     -4     8     -2    -109    180   21    22    0  0.0025433240
 29     48     -2     4     -2    -124    196   24    23    0  0.0025413512
 30     46     -2     1     -1    -108    176   22    24    0  0.0025398492
 31     43     -3     1     -3     -91    157   23    25    0  0.0025401592
 32     41     -2     2     -2     -91    154   22    26    0  0.0025381726
 33     39     -2     2     -2    -109    169   21    27    0  0.0025371968
 34     41     +2     4      2    -104    165   20    28    0  0.0025361538
 35     40     -1     2     -1    -105    165   20    29    0  0.0025355235
 36     34     -6     2     -5    -101    150   15    30    0  0.0025352813
 37     34     +0     5      1    -111    160   15    31    0  0.0025345777
 38     32     -2     2     -1    -107    153   14    32    0  0.0025337266
 39     30     -2     2     -2    -123    167   14    33    0  0.0025325773
 40     28     -2     5     -1    -114    155   13    34    0  0.0025320384
 41     27     -1     7     -1    -111    151   13    35    0  0.0025332041
 42     23     -4     2     -2    -114    148   11    36    0  0.0025319026
 43     22     -1     6      0    -116    149   11    37    0  0.0025314626
 44     21     -1     2     -1    -119    150   10    38    0  0.0025302941
 45     22     +1     3      1    -115    146    9    39    0  0.0025302282
 46     22     +0     1      0    -101    131    8    40    0  0.0025299941
 47     20     -2     2     -2    -109    137    8    41    0  0.0025298915
 48     19     -1     0     -1    -108    135    8    41    0  0.0025288971
 49     20     +1     2      2    -116    143    7    42    0  0.0025289742
 50     19     -1     4     -1    -113    139    7    43    0  0.0025279113
 51     18     -1     7     -1    -100    123    5    44    0  0.0025294417
 52     18     +0     3      0    -101    124    5    45    0  0.0025286396
 53     19     +1     1      0    -107    130    4    46    0  0.0025288210
 54     20     +1     2      1    -110    134    4    47    0  0.0025268730
 55     21     +1     5      0    -106    131    4    48    0  0.0025280461
 56     19     -2     3     -1     -97    120    4    49    0  0.0025285257
 57     16     -3     5     -1    -105    125    4    50    0  0.0025278376
 58     18     +2     2      1    -103    124    3    51    0  0.0025275179
 59     18     +0     6     -1    -109    130    3    52    0  0.0025278324
 60     15     -3     3     -3    -110    127    2    53    0  0.0025265179

==============================================================================
★ THE 3D CAVEAT — is the constraint being satisfied AND evaded?
==============================================================================
A hole tunnelled through material raises b1 without raising b0. If a
monotone arm holds b0 flat while b1 climbs, the constraint is not doing
what it was asked to do.

  MN_nucleating  d(b0)     -46   d(b1)   -1941   clean — neither rose
  MA_holes8      d(b0)     -76   d(b1)   -1967   clean — neither rose
  MC_stress      d(b0)      -4   d(b1)      +2   ★ EVADED — b0 held, b1 climbed
  MB_gyr12       d(b0)      -5   d(b1)     -76   clean — neither rose
  MB_gyr20       d(b0)      -9   d(b1)     -12   clean — neither rose
  MA_poor12      d(b0)    -481   d(b1)   -1847   clean — neither rose
  MA_rich6       d(b0)   -1254   d(b1)   -4351   clean — neither rose
  MA_phase       d(b0)     -80   d(b1)   -1970   clean — neither rose
